City or municipality,Type,Province
Bayog,Mun,Zamboanga del Sur
Bayombong*,Mun,Nueva Vizcaya
Bayugan*,CC,Agusan del Sur
Belison,Mun,Antique
Benito Soliven,Mun,Isabela
Besao,Mun,Mountain Province
Bien Unido,Mun,Bohol
Bilar,Mun,Bohol
Biliran,Mun,Biliran
Binalbagan,Mun,Negros Occidental
Binalonan,Mun,Pangasinan
Biñan,CC,Laguna
Binangonan,Mun,Rizal
Bindoy,Mun,Negros Oriental
Bingawan,Mun,Iloilo
Binidayan,Mun,Lanao del Sur
Binmaley,Mun,Pangasinan
Binuangan,Mun,Misamis Oriental
Biri,Mun,Northern Samar
Bislig*,CC,Surigao del Sur
Boac*,Mun,Marinduque
Bobon,Mun,Northern Samar
Bocaue,Mun,Bulacan
Bogo,CC,Cebu
Bokod,Mun,Benguet
Bolinao,Mun,Pangasinan
Boliney,Mun,Abra
Boljoon,Mun,Cebu
Bombon,Mun,Camarines Sur
Bongabon,Mun,Nueva Ecija
Bongabong,Mun,Oriental Mindoro
Bongao*,Mun,Tawi-Tawi
Bonifacio,Mun,Misamis Occidental
Bontoc,Mun,Mountain Province
Bontoc,Mun,Southern Leyte
Borbon,Mun,Cebu
Borongan*,CC,Eastern Samar
Boston,Mun,Davao Oriental
Botolan,Mun,Zambales
Braulio E. Dujali,Mun,Davao del Norte
Brooke's Point,Mun,Palawan
Buadiposo-Buntong,Mun,Lanao del Sur
Bubong,Mun,Lanao del Sur
Bucay,Mun,Abra
Bucloc,Mun,Abra
Buenavista,Mun,Agusan del Norte
Buenavista,Mun,Bohol
Buenavista,Mun,Marinduque
Buenavista,Mun,Quezon
Buenavista*,Mun,Guimaras
Bugallon,Mun,Pangasinan
Bugasong,Mun,Antique
Buguey,Mun,Cagayan
Buguias,Mun,Benguet
Buhi,Mun,Camarines Sur
Bula,Mun,Camarines Sur
Bulakan,Mun,Bulacan
Bulalacao,Mun,Oriental Mindoro
Bulan,Mun,Sorsogon
Buldon,Mun,Maguindanao del Norte
Buluan*,Mun,Maguindanao del Sur
Bulusan,Mun,Sorsogon
Bunawan,Mun,Agusan del Sur
Burauen,Mun,Leyte
Burdeos,Mun,Quezon
Burgos,Mun,Ilocos Norte
Burgos,Mun,Ilocos Sur
Burgos,Mun,Isabela
Burgos,Mun,La Union
Burgos,Mun,Pangasinan
Burgos,Mun,Surigao del Norte
Buruanga,Mun,Aklan
Bustos,Mun,Bulacan
Busuanga,Mun,Palawan
Butig,Mun,Lanao del Sur
Butuan*,HUC,Agusan del Norte
Buug,Mun,Zamboanga Sibugay
Caba,Mun,La Union
Cabadbaran,CC,Agusan del Norte
Cabagan,Mun,Isabela
Cabanatuan*,CC,Nueva Ecija
Cabangan,Mun,Zambales
Cabanglasan,Mun,Bukidnon
Cabarroguis,Mun,Quirino
Cabatuan,Mun,Iloilo
Cabatuan,Mun,Isabela
Cabiao,Mun,Nueva Ecija
Cabucgayan,Mun,Biliran
Cabugao,Mun,Ilocos Sur
Cabusao,Mun,Camarines Sur
Cabuyao,CC,Laguna
Cadiz,CC,Negros Occidental
Cagayan de Oro*,HUC,Misamis Oriental
Cagayancillo,Mun,Palawan
Cagdianao,Mun,Dinagat Islands
Cagwait,Mun,Surigao del Sur
Caibiran,Mun,Biliran
Cainta,Mun,Rizal
Cajidiocan,Mun,Romblon
Calabanga,Mun,Camarines Sur
Calaca,CC,Batangas
Calamba,Mun,Misamis Occidental
Calamba*,CC,Laguna
Calanasan,Mun,Apayao
Calanogas,Mun,Lanao del Sur
Calapan*,CC,Oriental Mindoro
Calape,Mun,Bohol
Calasiao,Mun,Pangasinan
Calatagan,Mun,Batangas
Calatrava,Mun,Negros Occidental
Calatrava,Mun,Romblon
Calauag,Mun,Quezon
Calauan,Mun,Laguna
Calayan,Mun,Cagayan
Calbayog*,CC,Samar
Calbiga,Mun,Samar
Calinog,Mun,Iloilo
Calintaan,Mun,Occidental Mindoro
Caloocan,HUC,Metro Manila
Calubian,Mun,Leyte
Calumpit,Mun,Bulacan
Caluya,Mun,Antique
Camalaniugan,Mun,Cagayan
Camalig,Mun,Albay
Camaligan,Mun,Camarines Sur
Camiling,Mun,Tarlac
Can-avid,Mun,Eastern Samar
Canaman,Mun,Camarines Sur
Candaba,Mun,Pampanga
Candelaria,Mun,Quezon
Candelaria,Mun,Zambales
Candijay,Mun,Bohol
Candon*,CC,Ilocos Sur
Candoni,Mun,Negros Occidental
Canlaon,CC,Negros Oriental
Cantilan,Mun,Surigao del Sur
Caoayan,Mun,Ilocos Sur
Capalonga,Mun,Camarines Norte
Capas,Mun,Tarlac
Capoocan,Mun,Leyte
Capul,Mun,Northern Samar
Caraga,Mun,Davao Oriental
Caramoan,Mun,Camarines Sur
Caramoran,Mun,Catanduanes
Carasi,Mun,Ilocos Norte
Carcar,CC,Cebu
Cardona,Mun,Rizal
Carigara,Mun,Leyte
Carles,Mun,Iloilo
Carmen,Mun,Agusan del Norte
Carmen,Mun,Bohol
Carmen,Mun,Cebu
Carmen,Mun,Cotabato
Carmen,Mun,Davao del Norte
Carmen,Mun,Surigao del Sur
Carmona,CC,Cavite
Carranglan,Mun,Nueva Ecija
Carrascal,Mun,Surigao del Sur
Casiguran,Mun,Aurora
Casiguran,Mun,Sorsogon
Castilla,Mun,Sorsogon
Castillejos,Mun,Zambales
Cataingan,Mun,Masbate
Catanauan,Mun,Quezon
Catarman,Mun,Camiguin
Catarman*,Mun,Northern Samar
Catbalogan,CC,Samar
Cateel,Mun,Davao Oriental
Catigbian,Mun,Bohol
Catmon,Mun,Cebu
Catubig,Mun,Northern Samar
Cauayan,CC,Isabela
Cauayan,Mun,Negros Occidental
Cavinti,Mun,Laguna
Cavite City,CC,Cavite
Cawayan,Mun,Masbate
Cebu City*,HUC,Cebu
Cervantes,Mun,Ilocos Sur
Clarin,Mun,Bohol
Clarin,Mun,Misamis Occidental
Claver,Mun,Surigao del Norte
Claveria,Mun,Cagayan
Claveria,Mun,Masbate
Claveria,Mun,Misamis Oriental
Columbio,Mun,Sultan Kudarat
Compostela,Mun,Cebu
Compostela,Mun,Davao de Oro
Concepcion,Mun,Iloilo
Concepcion,Mun,Misamis Occidental
Concepcion,Mun,Romblon
Concepcion,Mun,Tarlac
Conner*,Mun,Apayao
Consolacion,Mun,Cebu
Corcuera,Mun,Romblon
Cordon,Mun,Isabela
Cordova,Mun,Cebu
Corella,Mun,Bohol
Coron,Mun,Palawan
Cortes,Mun,Bohol
Cortes,Mun,Surigao del Sur
Cotabato City*,ICC,Maguindanao del Norte
Cuartero,Mun,Capiz
Cuenca,Mun,Batangas
Culaba,Mun,Biliran
Culasi,Mun,Antique
Culion,Mun,Palawan
Currimao,Mun,Ilocos Norte
Cuyapo,Mun,Nueva Ecija
Cuyo,Mun,Palawan
Daanbantayan,Mun,Cebu
Daet*,Mun,Camarines Norte
Dagami,Mun,Leyte
Dagohoy,Mun,Bohol
Daguioman,Mun,Abra
Dagupan,ICC,Pangasinan
Dalaguete,Mun,Cebu
Damulog,Mun,Bukidnon
Danao,Mun,Bohol
Danao,CC,Cebu
Dangcagan,Mun,Bukidnon
Danglas,Mun,Abra
Dao,Mun,Capiz
Dapa,Mun,Surigao del Norte
Dapitan,CC,Zamboanga del Norte
Daraga,Mun,Albay
Daram,Mun,Samar
Dasmariñas*,CC,Cavite
Dasol,Mun,Pangasinan
Datu Abdullah Sangki,Mun,Maguindanao del Sur
Datu Anggal Midtimbang,Mun,Maguindanao del Sur
Datu Blah T. Sinsuat,Mun,Maguindanao del Norte
Datu Hoffer Ampatuan,Mun,Maguindanao del Sur
Datu Montawal,Mun,Maguindanao del Sur
Datu Odin Sinsuat,Mun,Maguindanao del Norte
Datu Paglas,Mun,Maguindanao del Sur
Datu Piang,Mun,Maguindanao del Sur
Datu Salibo,Mun,Maguindanao del Sur
Datu Saudi-Ampatuan,Mun,Maguindanao del Sur
Datu Unsay,Mun,Maguindanao del Sur
Dauin,Mun,Negros Oriental
Dauis,Mun,Bohol
Davao City*,HUC,Davao del Sur
Del Carmen,Mun,Surigao del Norte
Del Gallego,Mun,Camarines Sur
Delfin Albano,Mun,Isabela
Diadi,Mun,Nueva Vizcaya
Diffun*,Mun,Quirino
Digos,CC,Davao del Sur
Dilasag,Mun,Aurora
Dimasalang,Mun,Masbate
Dimataling,Mun,Zamboanga del Sur
Dimiao,Mun,Bohol
Dinagat,Mun,Dinagat Islands
Dinalungan,Mun,Aurora
Dinalupihan,Mun,Bataan
Dinapigue,Mun,Isabela
Dinas,Mun,Zamboanga del Sur
Dingalan,Mun,Aurora
Dingle,Mun,Iloilo
Dingras,Mun,Ilocos Norte
Dipaculao,Mun,Aurora
Diplahan,Mun,Zamboanga Sibugay
Dipolog*,CC,Zamboanga del Norte
Ditsaan-Ramain,Mun,Lanao del Sur
Divilacan,Mun,Isabela
Dolores,Mun,Abra
Dolores,Mun,Eastern Samar
Dolores,Mun,Quezon
Don Carlos,Mun,Bukidnon
Don Marcelino,Mun,Davao Occidental
Don Salvador Benedicto,Mun,Negros Occidental
Don Victoriano,Mun,Misamis Occidental
Doña Remedios Trinidad,Mun,Bulacan
Donsol,Mun,Sorsogon
Dueñas,Mun,Iloilo
Duero,Mun,Bohol
Dulag,Mun,Leyte
Dumaguete*,CC,Negros Oriental
Dumalag,Mun,Capiz
Dumalinao,Mun,Zamboanga del Sur
Dumalneg,Mun,Ilocos Norte
Dumangas,Mun,Iloilo
Dumanjug,Mun,Cebu
Dumaran,Mun,Palawan
Dumarao,Mun,Capiz
Dumingag,Mun,Zamboanga del Sur
Dupax del Norte,Mun,Nueva Vizcaya
Dupax del Sur,Mun,Nueva Vizcaya
Echague,Mun,Isabela
El Nido,Mun,Palawan
El Salvador,CC,Misamis Oriental
Enrile,Mun,Cagayan
Enrique B. Magalona,Mun,Negros Occidental
Enrique Villanueva,Mun,Siquijor
Escalante,CC,Negros Occidental
Esperanza,Mun,Agusan del Sur
Esperanza,Mun,Masbate
Esperanza,Mun,Sultan Kudarat
Estancia,Mun,Iloilo
Famy,Mun,Laguna
Ferrol,Mun,Romblon
Flora,Mun,Apayao
Floridablanca,Mun,Pampanga
Gabaldon,Mun,Nueva Ecija
Gainza,Mun,Camarines Sur
Galimuyod,Mun,Ilocos Sur
Gamay,Mun,Northern Samar
Gamu,Mun,Isabela
Ganassi,Mun,Lanao del Sur
Gandara,Mun,Samar
Gapan,CC,Nueva Ecija
Garchitorena,Mun,Camarines Sur
Garcia Hernandez,Mun,Bohol
Gasan,Mun,Marinduque
Gattaran,Mun,Cagayan
General Emilio Aguinaldo,Mun,Cavite
General Luna,Mun,Quezon
General Luna,Mun,Surigao del Norte
General MacArthur,Mun,Eastern Samar
General Mamerto Natividad,Mun,Nueva Ecija
General Mariano Alvarez,Mun,Cavite
General Nakar,Mun,Quezon
General Salipada K. Pendatun,Mun,Maguindanao del Sur
General Santos*,HUC,South Cotabato
General Tinio,Mun,Nueva Ecija
General Trias,CC,Cavite
Gerona,Mun,Tarlac
Getafe,Mun,Bohol
Gigaquit,Mun,Surigao del Norte
Gigmoto,Mun,Catanduanes
Ginatilan,Mun,Cebu
Gingoog,CC,Misamis Oriental
Giporlos,Mun,Eastern Samar
Gitagum,Mun,Misamis Oriental
Glan*,Mun,Sarangani
Gloria,Mun,Oriental Mindoro
Goa,Mun,Camarines Sur
Godod,Mun,Zamboanga del Norte
Gonzaga,Mun,Cagayan
Governor Generoso,Mun,Davao Oriental
Gregorio del Pilar,Mun,Ilocos Sur
Guagua,Mun,Pampanga
Gubat,Mun,Sorsogon
Guiguinto,Mun,Bulacan
Guihulngan,CC,Negros Oriental
Guimba,Mun,Nueva Ecija
Guimbal,Mun,Iloilo
Guinayangan,Mun,Quezon
Guindulman,Mun,Bohol
Guindulungan,Mun,Maguindanao del Sur
Guinobatan,Mun,Albay
Guinsiliban,Mun,Camiguin
Guipos,Mun,Zamboanga del Sur
Guiuan,Mun,Eastern Samar
Gumaca,Mun,Quezon
Gutalac,Mun,Zamboanga del Norte
Hadji Mohammad Ajul,Mun,Basilan
Hadji Muhtamad,Mun,Basilan
Hadji Panglima Tahil,Mun,Sulu
Hagonoy,Mun,Bulacan
Hagonoy,Mun,Davao del Sur
Hamtic,Mun,Antique
Hermosa,Mun,Bataan
Hernani,Mun,Eastern Samar
Hilongos,Mun,Leyte
Himamaylan,CC,Negros Occidental
Hinabangan,Mun,Samar
Hinatuan,Mun,Surigao del Sur
Hindang,Mun,Leyte
Hingyon,Mun,Ifugao
Hinigaran,Mun,Negros Occidental
Hinoba-an,Mun,Negros Occidental
Hinunangan,Mun,Southern Leyte
Hinundayan,Mun,Southern Leyte
Hungduan,Mun,Ifugao
Iba,Mun,Zambales
Ibaan,Mun,Batangas
Ibajay,Mun,Aklan
Igbaras,Mun,Iloilo
Iguig,Mun,Cagayan
Ilagan*,CC,Isabela
Iligan*,HUC,Lanao del Norte
Ilog,Mun,Negros Occidental
Iloilo City*,HUC,Iloilo
Imelda,Mun,Zamboanga Sibugay
Impasugong,Mun,Bukidnon
Imus,CC,Cavite
Inabanga,Mun,Bohol
Indanan,Mun,Sulu
Indang,Mun,Cavite
Infanta,Mun,Pangasinan
Infanta,Mun,Quezon
Initao,Mun,Misamis Oriental
Inopacan,Mun,Leyte
Ipil*,Mun,Zamboanga Sibugay
Iriga,CC,Camarines Sur
Irosin,Mun,Sorsogon
Isabel,Mun,Leyte
Isabela,Mun,Negros Occidental
Isabela*,CC,Basilan
Isulan,Mun,Sultan Kudarat
Itbayat,Mun,Batanes
Itogon,Mun,Benguet
Ivana,Mun,Batanes
Ivisan,Mun,Capiz
Jabonga,Mun,Agusan del Norte
Jaen,Mun,Nueva Ecija
Jagna,Mun,Bohol
Jalajala,Mun,Rizal
Jamindan,Mun,Capiz
Janiuay,Mun,Iloilo
Jaro,Mun,Leyte
Jasaan,Mun,Misamis Oriental
Javier,Mun,Leyte
Jiabong,Mun,Samar
Jimalalud,Mun,Negros Oriental
Jimenez,Mun,Misamis Occidental
Jipapad,Mun,Eastern Samar
Jolo*,Mun,Sulu
Jomalig,Mun,Quezon
Jones,Mun,Isabela
Jordan,Mun,Guimaras
Jose Abad Santos,Mun,Davao Occidental
Jose Dalman,Mun,Zamboanga del Norte
Jose Panganiban,Mun,Camarines Norte
Josefina,Mun,Zamboanga del Sur
Jovellar,Mun,Albay
Juban,Mun,Sorsogon
Julita,Mun,Leyte
Kabacan,Mun,Cotabato
Kabankalan,CC,Negros Occidental
Kabasalan,Mun,Zamboanga Sibugay
Kabayan,Mun,Benguet
Kabugao,Mun,Apayao
Kabuntalan,Mun,Maguindanao del Norte
Kadayangan,Mun,Cotabato
Kadingilan,Mun,Bukidnon
Kalamansig,Mun,Sultan Kudarat
Kalawit,Mun,Zamboanga del Norte
Kalayaan,Mun,Laguna
Kalayaan,Mun,Palawan
Kalibo*,Mun,Aklan
Kalilangan,Mun,Bukidnon
Kalingalan Caluang,Mun,Sulu
Kananga,Mun,Leyte
Kapai,Mun,Lanao del Sur
Kapalawan,Mun,Cotabato
Kapalong,Mun,Davao del Norte
Kapangan,Mun,Benguet
Kapatagan,Mun,Lanao del Norte
Kapatagan,Mun,Lanao del Sur
Kasibu,Mun,Nueva Vizcaya
Katipunan,Mun,Zamboanga del Norte
Kauswagan,Mun,Lanao del Norte
Kawayan,Mun,Biliran
Kawit,Mun,Cavite
Kayapa,Mun,Nueva Vizcaya
Kiamba,Mun,Sarangani
Kiangan,Mun,Ifugao
Kibawe,Mun,Bukidnon
Kiblawan,Mun,Davao del Sur
Kibungan,Mun,Benguet
Kidapawan*,CC,Cotabato
Kinoguitan,Mun,Misamis Oriental
Kitaotao,Mun,Bukidnon
Kitcharao,Mun,Agusan del Norte
Kolambugan,Mun,Lanao del Norte
Koronadal,CC,South Cotabato
Kumalarang,Mun,Zamboanga del Sur
La Carlota,CC,Negros Occidental
La Castellana,Mun,Negros Occidental
La Libertad,Mun,Negros Oriental
La Libertad,Mun,Zamboanga del Norte
La Paz,Mun,Abra
La Paz,Mun,Agusan del Sur
La Paz,Mun,Leyte
La Paz,Mun,Tarlac
La Trinidad,Mun,Benguet
Laak,Mun,Davao de Oro
Labangan,Mun,Zamboanga del Sur
Labason,Mun,Zamboanga del Norte
Labo,Mun,Camarines Norte
Labrador,Mun,Pangasinan
Lacub,Mun,Abra
Lagangilang,Mun,Abra
Lagawe,Mun,Ifugao
Lagayan,Mun,Abra
Lagonglong,Mun,Misamis Oriental
Lagonoy,Mun,Camarines Sur
Laguindingan,Mun,Misamis Oriental
Lake Sebu,Mun,South Cotabato
Lakewood,Mun,Zamboanga del Sur
Lal-lo,Mun,Cagayan
Lala,Mun,Lanao del Norte
Lambayong,Mun,Sultan Kudarat
Lambunao,Mun,Iloilo
Lamitan,CC,Basilan
Lamut,Mun,Ifugao
Langiden,Mun,Abra
Languyan,Mun,Tawi-Tawi
Lantapan,Mun,Bukidnon
Lantawan,Mun,Basilan
Lanuza,Mun,Surigao del Sur
Laoac,Mun,Pangasinan
Laoag*,CC,Ilocos Norte
Laoang,Mun,Northern Samar
Lapinig,Mun,Northern Samar
Lapu-Lapu,HUC,Cebu
Lapuyan,Mun,Zamboanga del Sur
Larena,Mun,Siquijor
Las Navas,Mun,Northern Samar
Las Nieves,Mun,Agusan del Norte
Las Piñas,HUC,Metro Manila
Lasam,Mun,Cagayan
Laua-an,Mun,Antique
Laur,Mun,Nueva Ecija
Laurel,Mun,Batangas
Lavezares,Mun,Northern Samar
Lawaan,Mun,Eastern Samar
Lazi,Mun,Siquijor
Lebak,Mun,Sultan Kudarat
Leganes,Mun,Iloilo
Legazpi*,CC,Albay
Lemery,Mun,Batangas
Lemery,Mun,Iloilo
Leon,Mun,Iloilo
Leon B. Postigo,Mun,Zamboanga del Norte
Leyte,Mun,Leyte
Lezo,Mun,Aklan
Lian,Mun,Batangas
Lianga,Mun,Surigao del Sur
Libacao,Mun,Aklan
Libagon,Mun,Southern Leyte
Libertad,Mun,Antique
Libertad,Mun,Misamis Oriental
Libjo,Mun,Dinagat Islands
Libmanan,Mun,Camarines Sur
Libon,Mun,Albay
Libona,Mun,Bukidnon
Libungan,Mun,Cotabato
Licab,Mun,Nueva Ecija
Licuan-Baay,Mun,Abra
Lidlidda,Mun,Ilocos Sur
Ligao,CC,Albay
Ligawasan,Mun,Cotabato
Lila,Mun,Bohol
Liliw,Mun,Laguna
Liloan,Mun,Cebu
Liloan,Mun,Southern Leyte
Liloy,Mun,Zamboanga del Norte
Limasawa,Mun,Southern Leyte
Limay,Mun,Bataan
Linamon,Mun,Lanao del Norte
Linapacan,Mun,Palawan
Lingayen,Mun,Pangasinan
Lingig,Mun,Surigao del Sur
Lipa*,CC,Batangas
Llanera,Mun,Nueva Ecija
Llorente,Mun,Eastern Samar
Loay,Mun,Bohol
Lobo,Mun,Batangas
Loboc,Mun,Bohol
Looc,Mun,Occidental Mindoro
Looc,Mun,Romblon
Loon,Mun,Bohol
Lope de Vega,Mun,Northern Samar
Lopez,Mun,Quezon
Lopez Jaena,Mun,Misamis Occidental
Loreto,Mun,Agusan del Sur
Loreto,Mun,Dinagat Islands
Los Baños,Mun,Laguna
Luba,Mun,Abra
Lubang,Mun,Occidental Mindoro
Lubao,Mun,Pampanga
Lubuagan,Mun,Kalinga
Lucban,Mun,Quezon
Lucena*,HUC,Quezon
Lugait,Mun,Misamis Oriental
Lugus,Mun,Sulu
Luisiana,Mun,Laguna
Lumba-Bayabao,Mun,Lanao del Sur
Lumbaca-Unayan,Mun,Lanao del Sur
Lumban,Mun,Laguna
Lumbatan,Mun,Lanao del Sur
Lumbayanague,Mun,Lanao del Sur
Luna,Mun,Apayao
Luna,Mun,Isabela
Luna,Mun,La Union
Lupao,Mun,Nueva Ecija
Lupi,Mun,Camarines Sur
Lupon,Mun,Davao Oriental
Lutayan,Mun,Sultan Kudarat
Luuk,Mun,Sulu
M'lang,Mun,Cotabato
Ma-ayon,Mun,Capiz
Maasim,Mun,Sarangani
Maasin,Mun,Iloilo
Maasin*,CC,Southern Leyte
Mabalacat,CC,Pampanga
Mabinay,Mun,Negros Oriental
Mabini,Mun,Batangas
Mabini,Mun,Bohol
Mabini,Mun,Davao de Oro
Mabini,Mun,Pangasinan
Mabitac,Mun,Laguna
Mabuhay,Mun,Zamboanga Sibugay
Macabebe,Mun,Pampanga
Macalelon,Mun,Quezon
MacArthur,Mun,Leyte
Maco,Mun,Davao de Oro
Maconacon,Mun,Isabela
Macrohon,Mun,Southern Leyte
Madalag,Mun,Aklan
Madalum,Mun,Lanao del Sur
Madamba,Mun,Lanao del Sur
